"","game_id","team_winner","team_loser","team_home_result","team_away_result","team_home_elo_pre","team_away_elo_pre","team_home_elo_pre_diff","team_away_elo_pre_diff","team_home_win_prob","team_away_win_prob"
"3825","19961117MIATEN","MIA","TEN","Loss","Win",1074,1004,70,-70,0.597734468908438,0.402265531091562
"3826","19961117NYJIND","IND","NYJ","Win","Loss",919,667,252,-252,0.813523221669098,0.186476778330902
"3827","19961117CHIKC","KC","CHI","Win","Loss",1246,986,260,-260,0.821014663677836,0.178985336322164
"3828","19961117DENNE","DEN","NE","Loss","Win",1133,1269,-136,136,0.315317735327671,0.684682264672329
"3829","19961117MINOAK","MIN","OAK","Loss","Win",926,943,-17,17,0.476036371668315,0.523963628331685
"3830","19961117WASPHI","WAS","PHI","Loss","Win",1171,1012,159,-159,0.712993050679244,0.287006949320756
"3831","19961117JAXPIT","PIT","JAX","Win","Loss",1124,791,333,-333,0.880468648051639,0.119531351948361
"3832","19961117TBLAC","TB","LAC","Loss","Win",1109,864,245,-245,0.806811345270123,0.193188654729877
"3833","19961117BALSF","SF","BAL","Win","Loss",1154,795,359,-359,0.897825232898563,0.102174767101437
"3834","19961117CARLAR","CAR","LAR","Loss","Win",835,1008,-173,173,0.270385546376357,0.729614453623643
"3835","19961118GBDAL","DAL","GB","Win","Loss",1181,1242,-61,61,0.414623441529975,0.585376558470025
"3836","19961124PHIARI","ARI","PHI","Win","Loss",924,1100,-176,176,0.266887442361021,0.733112557638979
"3837","19961124JAXBAL","JAX","BAL","Loss","Win",785,779,6,-6,0.508462209082776,0.491537790917224
"3838","19961124NYJBUF","BUF","NYJ","Win","Loss",1201,648,553,-553,0.974717330676871,0.0252826693231288
"3839","19961124DETCHI","CHI","DET","Win","Loss",968,1020,-52,52,0.427066442582152,0.572933557417848
"3840","19961124ATLCIN","CIN","ATL","Win","Loss",986,885,101,-101,0.639487382196887,0.360512617803113
"3841","19961124CARTEN","CAR","TEN","Loss","Win",1014,1035,-21,21,0.470407237708422,0.529592762291578
"3842","19961124LACKC","LAC","KC","Loss","Win",1264,1028,236,-236,0.797968248598954,0.202031751401046
"3843","19961124DENMIN","DEN","MIN","Loss","Win",991,1301,-310,310,0.136535993322337,0.863464006677663
"3844","19961124INDNE","NE","IND","Win","Loss",1101,938,163,-163,0.717791094352907,0.282208905647093
"3845","19961124DALNYG","NYG","DAL","Win","Loss",874,1240,-366,366,0.097831776134283,0.902168223865717
"3846","19961124OAKSEA","OAK","SEA","Loss","Win",1065,878,187,-187,0.745740284352632,0.254259715647368
"3847","19961124GBLAR","GB","LAR","Loss","Win",808,1183,-375,375,0.0924487994828001,0.9075512005172
"3848","19961124NOTB","TB","NO","Win","Loss",945,786,159,-159,0.712993050679244,0.287006949320756
"3849","19961124SFWAS","SF","WAS","Loss","Win",1083,1164,-81,81,0.387294217090462,0.612705782909537
"3850","19961125PITMIA","PIT","MIA","Loss","Win",1064,1136,-72,72,0.399532080490652,0.600467919509348
"3851","19961128WASDAL","DAL","WAS","Win","Loss",1150,1044,106,-106,0.646082969675712,0.353917030324288
"3852","19961128KCDET","KC","DET","Loss","Win",963,1184,-221,221,0.217297455039216,0.782702544960784
"3853","19961201PITBAL","BAL","PIT","Win","Loss",734,1176,-442,442,0.0590608828476758,0.940939117152324
"3854","19961201TBCAR","CAR","TB","Win","Loss",1082,974,108,-108,0.648709109273506,0.351290890726494
"3855","19961201SEADEN","DEN","SEA","Win","Loss",1315,990,325,-325,0.874732012793181,0.125267987206819
"3856","19961201CHIGB","GB","CHI","Win","Loss",1192,1025,167,-167,0.722550193534079,0.277449806465921
